iter	Passed	Remaining
0	159	159746
1	160	80143
2	161	53566
3	161	40249
4	162	32298
5	162	26986
6	163	23195
7	164	20411
8	165	18182
9	165	16428
10	166	14965
11	167	13780
12	167	12754
13	168	11870
14	169	11116
15	169	10442
16	170	9859
17	171	9339
18	172	8893
19	173	8478
20	173	8104
21	174	7769
22	175	7455
23	176	7177
24	177	6915
25	177	6666
26	178	6438
27	179	6228
28	179	6026
29	180	5846
30	181	5676
31	182	5510
32	182	5356
33	183	5214
34	184	5074
35	184	4940
36	185	4817
37	185	4704
38	186	4594
39	187	4491
40	187	4395
41	188	4306
42	189	4221
43	190	4131
44	190	4051
45	191	3972
46	192	3894
47	192	3822
48	193	3752
49	193	3685
50	194	3622
51	195	3560
52	195	3498
53	196	3440
54	197	3387
55	197	3336
56	198	3284
57	199	3235
58	199	3187
59	200	3140
60	201	3097
61	201	3054
62	202	3014
63	203	2974
64	204	2936
65	204	2899
66	205	2865
67	206	2830
68	207	2794
69	207	2761
70	208	2728
71	209	2694
72	209	2662
73	210	2632
74	210	2601
75	211	2572
76	212	2543
77	212	2515
78	213	2488
79	214	2463
80	214	2436
81	215	2411
82	215	2382
83	216	2360
84	217	2337
85	217	2314
86	218	2291
87	218	2268
88	219	2247
89	220	2227
90	221	2210
91	221	2190
92	222	2170
93	223	2150
94	223	2133
95	224	2115
96	225	2096
97	225	2078
98	226	2061
99	227	2045
100	227	2028
101	228	2011
102	228	1993
103	229	1977
104	230	1962
105	230	1947
106	231	1930
107	231	1915
108	232	1901
109	233	1885
110	233	1871
111	234	1857
112	235	1845
113	235	1833
114	236	1819
115	236	1805
116	237	1791
117	237	1778
118	238	1765
119	238	1752
120	239	1740
121	240	1727
122	240	1714
123	241	1703
124	241	1692
125	242	1680
126	242	1668
127	243	1657
128	243	1646
129	244	1635
130	245	1625
131	245	1614
132	246	1603
133	246	1594
134	247	1583
135	247	1574
136	248	1564
137	249	1555
138	249	1545
139	250	1537
140	250	1528
141	251	1519
